"Domain Code","Domain","Reporter Country Code","Reporter Countries","Partner Country Code","Partner Countries","Element Code","Element","Year Code","Year","Unit","Value","Ranking"
"TM","Detailed trade matrix","165","Pakistan","225","United Arab Emirates","5922","Export Value","2020","2020","1000 US$","599932.0","1"
"TM","Detailed trade matrix","165","Pakistan","41","China, mainland","5922","Export Value","2020","2020","1000 US$","578086.0","2"
"TM","Detailed trade matrix","165","Pakistan","2","Afghanistan","5922","Export Value","2020","2020","1000 US$","552703.0","3"
"TM","Detailed trade matrix","165","Pakistan","194","Saudi Arabia","5922","Export Value","2020","2020","1000 US$","327059.0","4"
"TM","Detailed trade matrix","165","Pakistan","114","Kenya","5922","Export Value","2020","2020","1000 US$","324559.0","5"
"TM","Detailed trade matrix","165","Pakistan","229","United Kingdom of Great Britain and Northern Ireland","5922","Export Value","2020","2020","1000 US$","296688.0","6"
"TM","Detailed trade matrix","165","Pakistan","131","Malaysia","5922","Export Value","2020","2020","1000 US$","185399.0","7"
"TM","Detailed trade matrix","165","Pakistan","221","Oman","5922","Export Value","2020","2020","1000 US$","179418.0","8"
"TM","Detailed trade matrix","165","Pakistan","231","United States of America","5922","Export Value","2020","2020","1000 US$","178056.0","9"
"TM","Detailed trade matrix","165","Pakistan","106","Italy","5922","Export Value","2020","2020","1000 US$","156552.0","10"
